genome_id,protein_acc,description,length_aa,n_CXXCH,n_CXXCK,n_heme_motifs,n_Cys,signal_peptide,predicted_localization,interpro_domains,neighbour_porin,notes,organism,short_name,group,seq_id,signalp_prediction,signalp_prob,signalp_confidence,has_signal_peptide,cs_position,psortb_localization,psortb_score,psortb_modules,psortb_n_modules,surface_exposed,score_Extracellular,score_OuterMembrane,score_Periplasmic,score_CytoplasmicMembrane,score_Cytoplasmic
GCF_000008325.1,WP_041360671.1,hypothetical protein [Methylococcus capsulatus],203,7,0,7,14,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0160,SP,0.9993,high,yes,CS pos: 20-21. Pr: 0.9755,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCF_000008325.1,WP_228370253.1,cytochrome C [Methylococcus capsulatus],923,7,0,7,19,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0161,SP,0.8147,medium,yes,CS pos: 32-33. Pr: 0.7865,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCF_000019665.1,WP_012463936.1,cytochrome c3 family protein [Candidatus Methylacidiphilum infernorum],798,7,0,7,18,,,,,,Methylacidiphilum infernorum V4,M. infernorum,Verrucomicrobial MOB,seq0162,SP,0.9976,high,yes,CS pos: 21-22. Pr: 0.5912,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_000146165.2,WP_011070829.1,dissimilatory sulfite reductase SirA [Shewanella oneidensis],708,7,0,7,20,,,,,,Shewanella oneidensis MR-1,S. oneidensis,Positive control (EET),seq0163,SP,0.9991,high,yes,CS pos: 26-27. Pr: 0.5992,Periplasmic,9.84,CytoSVM;PPSVM;Signal,3,no,0.14,0.00,9.84,0.02,0.00
GCF_000297415.1,WP_009059285.1,hypothetical protein [Candidatus Methylacidiphilum fumarolicum],803,7,0,7,18,,,,,,Methylacidiphilum fumariolicum SolV,M. fumariolicum,Verrucomicrobial MOB,seq0164,SP,0.9958,high,yes,CS pos: 29-30. Pr: 0.9729,Periplasmic,9.83,PPSVM,1,no,0.14,0.01,9.83,0.01,0.01
GCF_000685155.1,WP_048092326.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],277,7,0,7,15,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0165,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000786775.1,WP_034402740.1,"hypothetical protein, partial [Candidatus Scalindua brodae]",404,7,0,7,17,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0166,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000786775.1,WP_034403701.1,"hypothetical protein, partial [Candidatus Scalindua brodae]",471,7,0,7,14,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0167,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000786775.1,WP_034404559.1,hypothetical protein [Candidatus Scalindua brodae],581,7,0,7,24,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0168,OTHER,0.6982,low,no,,not_submitted,,,,no,,,,,
GCF_000786775.1,WP_034408248.1,hypothetical protein [Candidatus Scalindua brodae],565,7,0,7,25,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0169,LIPO,0.7302,medium,yes,CS pos: 21-22. Pr: 0.5489,Periplasmic,9.44,SCL-BLAST,1,no,0.11,0.06,9.44,0.06,0.33
GCF_000786775.1,WP_034410536.1,hypothetical protein [Candidatus Scalindua brodae],351,7,0,7,15,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0170,SP,0.9985,high,yes,CS pos: 26-27. Pr: 0.9755,Periplasmic,9.76,CytoSVM;SCL-BLAST;Signal,3,no,0.11,0.00,9.76,0.12,0.00
GCF_000949635.1,WP_052563890.1,MULTISPECIES: hydrazine dehydrogenase [Candidatus Brocadia],581,7,0,7,24,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0171,SP,0.5473,low,yes,CS pos: 32-33. Pr: 0.4706,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_000949635.1,WP_052564202.1,hydrazine dehydrogenase [Candidatus Brocadia sinica],581,7,0,7,23,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0172,SP,0.5859,low,yes,CS pos: 32-33. Pr: 0.5269,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_011066545.1,WP_099324501.1,MULTISPECIES: hydrazine dehydrogenase [Candidatus Kuenenia],577,7,0,7,22,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0173,SP,0.6940,low,yes,CS pos: 32-33. Pr: 0.6191,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_011066545.1,WP_164995586.1,hydrazine dehydrogenase [Candidatus Kuenenia stuttgartensis],582,7,0,7,22,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0174,SP,0.6940,low,yes,CS pos: 32-33. Pr: 0.6191,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCA_030583625.1,WKZ15076.1,MAG: hypothetical protein QY317_14350 [Candidatus Jettenia caeni],348,6,0,6,17,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0175,SP,0.9654,high,yes,CS pos: 41-42. Pr: 0.8991,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCA_030583625.1,WKZ15227.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],344,6,0,6,12,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0176,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000007985.2,WP_010941362.1,cytochrome c [Geobacter sulfurreducens],427,6,0,6,14,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0177,SP,0.9990,high,yes,CS pos: 24-25. Pr: 0.9740,Unknown,,,0,no,2.00,2.00,2.00,2.00,2.00
GCF_000007985.2,WP_010942931.1,cytochrome c3 family protein [Geobacter sulfurreducens],179,6,0,6,13,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0178,SP,0.9988,high,yes,CS pos: 28-29. Pr: 0.9670,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000007985.2,WP_010943138.1,cytochrome c [Geobacter sulfurreducens],437,6,0,6,12,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0179,SP,0.9990,high,yes,CS pos: 23-24. Pr: 0.9797,Periplasmic,9.83,PPSVM,1,no,0.14,0.01,9.83,0.01,0.01
GCF_000007985.2,WP_010943140.1,cytochrome c [Geobacter sulfurreducens],430,6,0,6,12,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0180,SP,0.9990,high,yes,CS pos: 25-26. Pr: 0.9720,Periplasmic,9.83,PPSVM,1,no,0.14,0.01,9.83,0.01,0.01
GCF_000007985.2,WP_010943141.1,c-type cytochrome OmcS [Geobacter sulfurreducens],432,6,0,6,12,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0181,SP,0.9991,high,yes,CS pos: 25-26. Pr: 0.9740,Extracellular,9.65,ECSVM;Signal,2,yes,9.65,0.23,0.11,0.01,0.00
GCF_000007985.2,WP_010943280.1,cytochrome c [Geobacter sulfurreducens],229,6,0,6,13,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0182,LIPO,1.0000,high,yes,CS pos: 17-18. Pr: 0.9970,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000007985.2,WP_010943435.1,cytochrome c3 family protein [Geobacter sulfurreducens],189,6,0,6,13,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0183,SP,0.5916,low,yes,CS pos: 29-30. Pr: 0.5612,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000007985.2,WP_010943871.1,cytochrome c3 family protein [Geobacter sulfurreducens],507,6,0,6,14,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0184,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000008325.1,WP_041360673.1,hypothetical protein [Methylococcus capsulatus],293,6,0,6,12,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0185,OTHER,0.7587,medium,no,,not_submitted,,,,no,,,,,
GCF_000008325.1,WP_228370255.1,assimilatory sulfite reductase (NADPH) flavoprotein subunit [Methylococcus capsulatus],972,6,0,6,27,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0186,SP,0.9987,high,yes,CS pos: 23-24. Pr: 0.9731,CytoplasmicMembrane,7.88,CytoSVM;SCL-BLAST,2,no,0.00,0.00,0.00,7.88,2.11
GCF_000091165.1,WP_044595711.1,"hypothetical protein, partial [Candidatus Methylomirabilis oxyfera]",500,6,0,6,13,,,,,,Candidatus Methylomirabilis oxyfera,Ca. M. oxyfera,n-DAMO bacterium (NC10),seq0187,OTHER,0.9999,high,no,,not_submitted,,,,no,,,,,
GCF_000496735.2,WP_036308105.1,c-type cytochrome [Methyloglobulus morosus],698,6,0,6,12,,,,,,Methyloglobulus morosus KoM1,M. morosus,Type I MOB (Gammaproteobacteria),seq0188,SP,0.9992,high,yes,CS pos: 27-28. Pr: 0.9744,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCF_000496735.2,WP_161808515.1,c-type cytochrome [Methyloglobulus morosus],652,6,0,6,13,,,,,,Methyloglobulus morosus KoM1,M. morosus,Type I MOB (Gammaproteobacteria),seq0189,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000685155.1,WP_048092707.1,hypothetical protein [Candidatus Methanoperedens nitratireducens],199,6,0,6,12,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0190,SP,0.9992,high,yes,CS pos: 28-29. Pr: 0.9747,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCF_000685155.1,WP_157833896.1,ammonia-forming cytochrome c nitrite reductase subunit c552 [Candidatus Methanoperedens nitratireducens],301,6,0,6,14,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0191,SP,0.9992,high,yes,CS pos: 16-17. Pr: 0.9806,Unknown,,,0,no,2.00,2.00,2.00,2.00,2.00
GCF_000685155.1,WP_157833929.1,molecular chaperone DnaJ [Candidatus Methanoperedens nitratireducens],179,6,0,6,12,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0192,SP,0.9992,high,yes,CS pos: 23-24. Pr: 0.9733,Unknown,,,0,no,2.00,2.00,2.00,2.00,2.00
GCF_000786775.1,WP_034410203.1,hypothetical protein [Candidatus Scalindua brodae],335,6,0,6,18,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0193,OTHER,0.7298,medium,no,,not_submitted,,,,no,,,,,
GCF_000949635.1,WP_052561384.1,MULTISPECIES: hypothetical protein [Candidatus Brocadia],375,6,0,6,14,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0194,OTHER,0.6107,low,no,,not_submitted,,,,no,,,,,
GCF_000949635.1,WP_052562059.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],363,6,0,6,12,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0195,OTHER,0.9974,high,no,,not_submitted,,,,no,,,,,
GCF_000949635.1,WP_052564196.1,MULTISPECIES: hypothetical protein [Candidatus Brocadia],350,6,0,6,16,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0196,SP,0.9976,high,yes,CS pos: 42-43. Pr: 0.9562,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCF_000949635.1,WP_157842289.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],439,6,0,6,14,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0197,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_001273775.1,WP_053380978.1,cytochrome c3 family protein [Nitrospira moscoviensis],236,6,0,6,12,,,,,,Nitrospira moscoviensis,N. moscoviensis,Ecological control,seq0198,SP,0.9989,high,yes,CS pos: 24-25. Pr: 0.9216,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_001753675.2,WP_070066582.1,hypothetical protein [Candidatus Brocadia sapporoensis],350,6,0,6,16,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0199,OTHER,0.6657,low,no,,not_submitted,,,,no,,,,,
GCF_001753675.2,WP_070067858.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],363,6,0,6,12,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0200,OTHER,0.8354,medium,no,,not_submitted,,,,no,,,,,
GCF_011066545.1,WP_099326587.1,MULTISPECIES: hypothetical protein [Candidatus Kuenenia],347,6,0,6,17,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0201,SP,0.6666,low,yes,CS pos: 35-36. Pr: 0.3567,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCF_011066545.1,WP_157820736.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Kuenenia],363,6,0,6,13,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0202,OTHER,0.8451,medium,no,,not_submitted,,,,no,,,,,
GCF_011066545.1,WP_164995121.1,MULTISPECIES: hypothetical protein [Candidatus Kuenenia],183,0,6,6,16,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0203,SP,0.9988,high,yes,CS pos: 29-30. Pr: 0.9339,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCA_030583625.1,WKZ15107.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],476,5,0,5,12,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0204,SP,0.9991,high,yes,CS pos: 25-26. Pr: 0.9733,Periplasmic,9.84,CytoSVM;PPSVM;Signal,3,no,0.14,0.00,9.84,0.02,0.00
GCA_030583625.1,WKZ16134.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],327,5,0,5,15,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0205,LIPO,1.0000,high,yes,CS pos: 26-27. Pr: 0.9935,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCA_030583625.1,WKZ16136.1,MAG: cytochrome c3 family protein [Candidatus Jettenia caeni],320,5,0,5,12,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0206,SP,0.9992,high,yes,CS pos: 23-24. Pr: 0.9794,Unknown,,,0,no,2.00,2.00,2.00,2.00,2.00
GCA_030583625.1,WKZ16247.1,MAG: ammonia-forming cytochrome c nitrite reductase subunit c552 [Candidatus Jettenia caeni],472,5,0,5,11,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0207,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCA_030583625.1,WKZ16863.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],257,5,0,5,10,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0208,SP,0.9992,high,yes,CS pos: 23-24. Pr: 0.9738,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_000005845.2,NP_415516.1,cytochrome c menaquinol dehydrogenase TorC [Escherichia coli str. K-12 substr. MG1655],390,5,0,5,10,,,,,,Escherichia coli K-12 MG1655,E. coli,Negative control,seq0209,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000005845.2,NP_416387.1,cytochrome c quinol dehydrogenase TorY [Escherichia coli str. K-12 substr. MG1655],366,5,0,5,10,,,,,,Escherichia coli K-12 MG1655,E. coli,Negative control,seq0210,OTHER,0.6344,low,no,,not_submitted,,,,no,,,,,
GCF_000005845.2,NP_418494.1,cytochrome c552 nitrite reductase [Escherichia coli str. K-12 substr. MG1655],478,4,1,5,10,,,,,,Escherichia coli K-12 MG1655,E. coli,Negative control,seq0211,SP,0.9987,high,yes,CS pos: 26-27. Pr: 0.9783,Periplasmic,10.00,PPSVM;SCL-BLAST;SCL-BLASTe;Signal,4,no,0.00,0.00,10.00,0.00,0.00
GCF_000005845.2,NP_418495.2,periplasmic nitrite reductase penta-heme c-type cytochrome [Escherichia coli str. K-12 substr. MG1655],188,5,0,5,10,,,,,,Escherichia coli K-12 MG1655,E. coli,Negative control,seq0212,SP,0.9981,high,yes,CS pos: 32-33. Pr: 0.9194,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_000006765.1,NP_253261.1,cytochrome C [Pseudomonas aeruginosa PAO1],675,5,0,5,12,,,,,,Pseudomonas aeruginosa PAO1,P. aeruginosa,Negative control,seq0213,SP,0.9990,high,yes,CS pos: 23-24. Pr: 0.9745,Periplasmic,9.76,SCL-BLAST;Signal,2,no,0.11,0.06,9.76,0.06,0.00
GCF_000007985.2,WP_010943281.1,cytochrome c [Geobacter sulfurreducens],155,5,0,5,13,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0214,LIPO,0.8912,medium,yes,CS pos: 20-21. Pr: 0.8238,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000007985.2,WP_010943360.1,cytochrome c [Geobacter sulfurreducens],157,5,0,5,11,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0215,LIPO,1.0000,high,yes,CS pos: 21-22. Pr: 0.9854,Unknown,,,0,no,2.00,2.00,2.00,2.00,2.00
GCF_000007985.2,WP_010943428.1,cytochrome c family protein [Geobacter sulfurreducens],488,5,0,5,12,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0216,SP,0.9992,high,yes,CS pos: 26-27. Pr: 0.9607,Unknown,,CytoSVM;Signal,2,no,2.50,0.10,2.50,4.90,0.00
GCF_000007985.2,WP_010943775.1,ammonia-forming cytochrome c nitrite reductase subunit c552 [Geobacter sulfurreducens],490,4,1,5,11,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0217,LIPO,1.0000,high,yes,CS pos: 27-28. Pr: 0.9926,Periplasmic,9.76,SCL-BLAST;Signal,2,no,0.11,0.06,9.76,0.06,0.00
GCF_000007985.2,WP_010943840.1,cytochrome c3 family protein [Geobacter sulfurreducens],195,5,0,5,13,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0218,LIPO,1.0000,high,yes,CS pos: 24-25. Pr: 0.9921,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCF_000007985.2,WP_235045011.1,cytochrome C [Geobacter sulfurreducens],246,5,0,5,10,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0219,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000007985.2,WP_262421250.1,multiheme c-type cytochrome (seleno)protein ExtKL [Geobacter sulfurreducens],450,5,0,5,13,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0220,SP,0.9992,high,yes,CS pos: 25-26. Pr: 0.9784,Periplasmic,9.84,CytoSVM;PPSVM;Signal,3,no,0.14,0.00,9.84,0.02,0.00
GCF_000007985.2,WP_338029188.1,cytochrome c3 family protein [Geobacter sulfurreducens],118,5,0,5,10,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0221,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000019665.1,WP_012464298.1,cytochrome c3 family protein [Candidatus Methylacidiphilum infernorum],218,5,0,5,10,,,,,,Methylacidiphilum infernorum V4,M. infernorum,Verrucomicrobial MOB,seq0222,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000091165.1,WP_044595525.1,hypothetical protein [Candidatus Methylomirabilis oxyfera],231,5,0,5,11,,,,,,Candidatus Methylomirabilis oxyfera,Ca. M. oxyfera,n-DAMO bacterium (NC10),seq0223,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000091165.1,WP_044595790.1,"hypothetical protein, partial [Candidatus Methylomirabilis oxyfera]",404,5,0,5,10,,,,,,Candidatus Methylomirabilis oxyfera,Ca. M. oxyfera,n-DAMO bacterium (NC10),seq0224,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000146165.2,WP_011071461.1,pentaheme c-type cytochrome TorC [Shewanella oneidensis],392,5,0,5,10,,,,,,Shewanella oneidensis MR-1,S. oneidensis,Positive control (EET),seq0225,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000146165.2,WP_011073711.1,ammonia-forming nitrite reductase cytochrome c552 subunit [Shewanella oneidensis],467,4,1,5,10,,,,,,Shewanella oneidensis MR-1,S. oneidensis,Positive control (EET),seq0226,SP,0.9989,high,yes,CS pos: 27-28. Pr: 0.9769,Periplasmic,10.00,PPSVM;SCL-BLAST;Signal,3,no,0.00,0.00,10.00,0.00,0.00
GCF_000214665.1,WP_049794576.1,dockerin type I domain-containing protein [Methylomonas methanica],820,5,0,5,12,,,,,,Methylomonas methanica,M. methanica,Type I MOB (Gammaproteobacteria),seq0227,SP,0.9989,high,yes,CS pos: 22-23. Pr: 0.9765,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000297415.1,WP_009060382.1,cytochrome c3 family protein [Candidatus Methylacidiphilum fumarolicum],218,5,0,5,10,,,,,,Methylacidiphilum fumariolicum SolV,M. fumariolicum,Verrucomicrobial MOB,seq0228,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000372865.1,WP_020565010.1,cytochrome c3 family protein [Methylosarcina fibrata],188,5,0,5,10,,,,,,Methylosarcina fibrata AML-C10,M. fibrata,Type I MOB (Gammaproteobacteria),seq0229,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000685155.1,WP_048088734.1,hypothetical protein [Candidatus Methanoperedens nitratireducens],194,5,0,5,10,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0230,OTHER,0.8798,medium,no,,not_submitted,,,,no,,,,,
GCF_000685155.1,WP_048089031.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],325,5,0,5,12,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0231,SP,0.5098,low,yes,CS pos: 35-36. Pr: 0.3631,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCF_000685155.1,WP_048089356.1,multiheme c-type cytochrome [Candidatus Methanoperedens nitratireducens],408,5,0,5,10,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0232,SP,0.9990,high,yes,CS pos: 28-29. Pr: 0.9758,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000685155.1,WP_048092700.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],430,5,0,5,10,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0233,OTHER,0.6485,low,no,,not_submitted,,,,no,,,,,
GCF_000685155.1,WP_048092705.1,hypothetical protein [Candidatus Methanoperedens nitratireducens],403,5,0,5,10,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0234,SP,0.6273,low,yes,CS pos: 27-28. Pr: 0.3243,Unknown,,,0,no,2.00,2.00,2.00,2.00,2.00
GCF_000685155.1,WP_048092745.1,hypothetical protein [Candidatus Methanoperedens nitratireducens],218,5,0,5,12,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0235,SP,0.9991,high,yes,CS pos: 21-22. Pr: 0.9768,Unknown,,,0,no,2.00,2.00,2.00,2.00,2.00
GCF_000685155.1,WP_048093231.1,ammonia-forming cytochrome c nitrite reductase subunit c552 [Candidatus Methanoperedens nitratireducens],431,4,1,5,10,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0236,OTHER,0.7876,medium,no,,not_submitted,,,,no,,,,,
GCF_000685155.1,WP_048093459.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],319,5,0,5,13,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0237,SP,0.9990,high,yes,CS pos: 30-31. Pr: 0.9728,Unknown,,CytoSVM;Signal,2,no,2.50,0.10,2.50,4.90,0.00
GCF_000685155.1,WP_048093461.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],313,5,0,5,12,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0238,SP,0.9992,high,yes,CS pos: 27-28. Pr: 0.9768,Unknown,,CytoSVM;Signal,2,no,2.50,0.10,2.50,4.90,0.00
GCF_000685155.1,WP_048093932.1,ammonia-forming cytochrome c nitrite reductase subunit c552 [Candidatus Methanoperedens nitratireducens],434,4,1,5,10,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0239,OTHER,0.5841,low,no,,not_submitted,,,,no,,,,,
GCF_000685155.1,WP_081810095.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],321,5,0,5,12,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0240,SP,0.9993,high,yes,CS pos: 25-26. Pr: 0.9783,Unknown,,CytoSVM;Signal,2,no,2.50,0.10,2.50,4.90,0.00
GCF_000685155.1,WP_198527437.1,carboxypeptidase-like regulatory domain-containing protein [Candidatus Methanoperedens nitratireducens],2081,5,0,5,10,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0241,OTHER,0.9979,high,no,,not_submitted,,,,no,,,,,
GCF_000786775.1,WP_034405325.1,hypothetical protein [Candidatus Scalindua brodae],333,5,0,5,11,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0242,LIPO,0.7910,medium,yes,CS pos: 21-22. Pr: 0.7437,Unknown,,,0,no,2.00,2.00,2.00,2.00,2.00
GCF_000786775.1,WP_034409879.1,hypothetical protein [Candidatus Scalindua brodae],368,5,0,5,12,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0243,OTHER,0.7130,medium,no,,not_submitted,,,,no,,,,,
GCF_000786775.1,WP_034410535.1,hypothetical protein [Candidatus Scalindua brodae],230,5,0,5,11,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0244,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
